iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,buildings,other-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,5698.2526286,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
ABW,buildings,other-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,0.0398479,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
ABW,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,0.695633,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
ABW,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,5422.472989,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
ABW,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,5452.1264215,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
ABW,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,5491.0434706,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
ABW,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,0.0383989,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
ABW,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,0.7218829999999999,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
ABW,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,5627.094611,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
ABW,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,5657.867028500001,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
